tanggal,komoditi,harga
2018-07-11,ayam kampung,79433.0
2018-07-10,ayam kampung,82767.0
2018-07-09,ayam kampung,78671.0
2018-07-06,ayam kampung,79575.0
2018-01-04,ayam kampung,53825.0
2018-07-05,ayam kampung,62160.0
2018-07-04,ayam kampung,77767.0
2018-07-03,ayam kampung,77767.0
2018-07-02,ayam kampung,79575.0
2018-01-03,ayam kampung,55075.0
2018-01-02,ayam kampung,55075.0
2018-07-18,ayam kampung,82767.0
2018-12-20,ayam kampung,83750.0
2018-07-19,ayam kampung,82075.0
2018-07-23,ayam kampung,78325.0
2018-12-26,ayam kampung,83750.0
2018-12-27,ayam kampung,95000.0
2018-03-28,ayam kampung,82075.0
2018-12-28,ayam kampung,95000.0
2018-12-31,ayam kampung,95000.0
2018-04-20,ayam kampung,83325.0
2018-01-08,ayam kampung,77575.0
2018-03-29,ayam kampung,82767.0
2018-01-05,ayam kampung,78825.0
2018-07-31,ayam kampung,64660.0
2018-07-30,ayam kampung,80825.0
2018-07-27,ayam kampung,80825.0
2018-07-26,ayam kampung,80825.0
2018-07-25,ayam kampung,79575.0
2018-07-24,ayam kampung,75825.0
2018-07-20,ayam kampung,78325.0
2018-01-15,ayam kampung,85767.0
2018-09-17,ayam kampung,84375.0
2018-01-16,ayam kampung,81233.0
2018-04-24,ayam kampung,80000.0
2018-04-25,ayam kampung,81667.0
2018-04-26,ayam kampung,81100.0
2018-04-27,ayam kampung,59660.0
2018-01-18,bawang merah medium,25940.0
2018-05-24,bawang merah medium,39840.0
2018-05-23,bawang merah medium,40660.0
2018-05-22,bawang merah medium,39960.0
2018-05-18,bawang merah medium,37040.0
2018-05-17,bawang merah medium,40400.0
2018-05-16,bawang merah medium,36900.0
2018-05-15,bawang merah medium,37200.0
2018-05-14,bawang merah medium,36400.0
2018-05-11,bawang merah medium,38240.0
2018-05-09,bawang merah medium,37140.0
2018-05-08,bawang merah medium,36900.0
2018-05-07,bawang merah medium,38600.0
2018-05-04,bawang merah medium,37000.0
2018-05-03,bawang merah medium,33700.0
2018-05-02,bawang merah medium,33200.0
2018-08-31,bawang merah medium,27660.0
2018-08-30,bawang merah medium,28460.0
2018-01-30,bawang merah medium,23760.0
2018-05-25,bawang merah medium,40840.0
2018-08-29,bawang merah medium,28460.0
2018-01-31,bawang merah medium,24760.0
2018-02-27,bawang merah medium,33340.0
2018-03-20,bawang merah medium,32400.0
2018-03-19,bawang merah medium,34400.0
2018-03-16,bawang merah medium,35100.0
2018-03-15,bawang merah medium,34000.0
2018-03-14,bawang merah medium,34500.0
2018-03-13,bawang merah medium,35700.0
2018-02-01,bawang merah medium,23700.0
2018-02-02,bawang merah medium,23700.0
2018-02-05,bawang merah medium,22560.0
2018-02-06,bawang merah medium,23560.0
2018-02-07,bawang merah medium,24600.0
2018-02-08,bawang merah medium,27800.0
2018-02-09,bawang merah medium,27200.0
2018-02-12,bawang merah medium,27740.0
2018-02-13,bawang merah medium,28540.0
2018-02-14,bawang merah medium,29240.0
2018-02-15,bawang merah medium,32260.0
2018-02-19,bawang merah medium,29360.0
2018-02-20,bawang merah medium,27560.0
2018-02-21,bawang merah medium,28540.0
2018-02-22,bawang merah medium,30640.0
2018-02-23,bawang merah medium,29900.0
2018-02-26,bawang merah medium,30640.0
2018-02-28,bawang merah medium,34740.0
2018-08-28,bawang merah medium,28260.0
2018-08-23,bawang merah medium,29960.0
2018-03-21,bawang merah medium,33300.0
2018-10-16,bawang merah medium,26960.0
2018-10-17,bawang merah medium,26960.0
2018-10-18,bawang merah medium,26460.0
2018-01-29,bawang merah medium,23760.0
2018-08-01,bawang merah medium,29060.0
2018-03-12,bawang merah medium,32800.0
2018-03-09,bawang merah medium,34200.0
2018-03-08,bawang merah medium,32500.0
2018-10-19,bawang merah medium,26460.0
2018-10-22,bawang merah medium,26860.0
2018-10-23,bawang merah medium,27160.0
2018-10-24,bawang merah medium,27360.0
2018-10-25,bawang merah medium,26660.0
2018-10-26,bawang merah medium,27160.0
2018-10-29,bawang merah medium,24860.0
2018-10-30,bawang merah medium,25560.0
2018-10-31,bawang merah medium,26260.0
2018-03-07,bawang merah medium,31900.0
2018-01-26,bawang merah medium,24160.0
2018-03-06,bawang merah medium,30100.0
2018-03-05,bawang merah medium,34900.0
2018-10-15,bawang merah medium,26160.0
2018-08-27,bawang merah medium,29160.0
2018-10-12,bawang merah medium,27260.0
2018-10-11,bawang merah medium,27360.0
2018-08-22,bawang merah medium,29660.0
2018-08-21,bawang merah medium,29160.0
2018-08-20,bawang merah medium,27700.0
2018-08-16,bawang merah medium,29640.0
2018-08-15,bawang merah medium,29340.0
2018-08-14,bawang merah medium,30440.0
2018-08-13,bawang merah medium,31440.0
2018-08-10,bawang merah medium,32140.0
2018-08-09,bawang merah medium,32140.0
2018-08-08,bawang merah medium,31140.0
2018-08-07,bawang merah medium,29260.0
2018-08-06,bawang merah medium,31260.0
2018-08-03,bawang merah medium,31460.0
2018-10-01,bawang merah medium,24560.0
2018-10-02,bawang merah medium,28060.0
2018-10-03,bawang merah medium,26960.0
2018-10-04,bawang merah medium,26260.0
2018-10-05,bawang merah medium,25060.0
2018-10-08,bawang merah medium,26560.0
2018-10-09,bawang merah medium,25060.0
2018-10-10,bawang merah medium,28260.0
2018-08-02,bawang merah medium,29460.0
2018-03-22,bawang merah medium,35860.0
2018-03-23,bawang merah medium,38060.0
2018-03-26,bawang merah medium,33900.0
2018-09-19,bawang merah medium,29760.0
2018-09-20,bawang merah medium,26460.0
2018-09-21,bawang merah medium,27260.0
2018-09-24,bawang merah medium,26260.0
2018-09-25,bawang merah medium,24660.0
2018-09-26,bawang merah medium,25560.0
2018-09-27,bawang merah medium,25160.0
2018-09-28,bawang merah medium,24260.0
2018-12-12,bawang merah medium,31060.0
2018-12-11,bawang merah medium,30600.0
2018-12-10,bawang merah medium,30500.0
2018-12-07,bawang merah medium,30200.0
2018-12-06,bawang merah medium,31400.0
2018-12-05,bawang merah medium,31400.0
2018-12-04,bawang merah medium,32360.0
2018-12-03,bawang merah medium,30160.0
2018-11-02,bawang merah medium,26960.0
2018-11-05,bawang merah medium,26160.0
2018-11-06,bawang merah medium,26160.0
2018-11-07,bawang merah medium,27660.0
2018-11-08,bawang merah medium,26560.0
2018-09-18,bawang merah medium,28060.0
2018-09-17,bawang merah medium,25960.0
2018-09-14,bawang merah medium,27460.0
2018-09-13,bawang merah medium,27160.0
2018-11-01,bawang merah medium,25260.0
2018-01-02,bawang merah medium,26800.0
2018-01-16,bawang merah medium,25940.0
2018-12-31,bawang merah medium,31440.0
2018-12-28,bawang merah medium,31440.0
2018-12-27,bawang merah medium,30740.0
2018-12-26,bawang merah medium,30960.0
2018-12-21,bawang merah medium,30260.0
2018-12-20,bawang merah medium,30460.0
2018-12-19,bawang merah medium,31000.0
2018-07-25,bawang merah medium,32140.0
2018-12-18,bawang merah medium,30600.0
2018-12-14,bawang merah medium,31960.0
2018-12-13,bawang merah medium,31360.0
2018-01-03,bawang merah medium,27800.0
2018-09-03,bawang merah medium,27660.0
2018-09-04,bawang merah medium,28460.0
2018-09-05,bawang merah medium,26460.0
2018-09-06,bawang merah medium,28160.0
2018-09-07,bawang merah medium,28660.0
2018-09-10,bawang merah medium,27960.0
2018-09-12,bawang merah medium,28760.0
2018-12-17,bawang merah medium,30940.0
2018-11-09,bawang merah medium,27060.0
2018-11-12,bawang merah medium,27860.0
2018-11-13,bawang merah medium,29140.0
2018-04-16,bawang merah medium,33540.0
2018-04-17,bawang merah medium,34140.0
2018-04-18,bawang merah medium,34140.0
2018-04-19,bawang merah medium,35640.0
2018-01-05,bawang merah medium,27900.0
2018-07-02,bawang merah medium,41040.0
2018-07-03,bawang merah medium,38740.0
2018-07-04,bawang merah medium,39640.0
2018-07-05,bawang merah medium,35040.0
2018-07-06,bawang merah medium,34540.0
2018-04-13,bawang merah medium,34440.0
2018-07-09,bawang merah medium,39890.0
2018-04-20,bawang merah medium,35740.0
2018-04-23,bawang merah medium,35140.0
2018-04-24,bawang merah medium,35400.0
2018-04-25,bawang merah medium,35400.0
2018-04-26,bawang merah medium,34900.0
2018-04-27,bawang merah medium,33200.0
2018-04-30,bawang merah medium,35200.0
2018-03-29,bawang merah medium,34740.0
2018-03-28,bawang merah medium,36200.0
2018-03-27,bawang merah medium,34740.0
2018-07-24,bawang merah medium,33540.0
2018-03-02,bawang merah medium,32240.0
2018-04-12,bawang merah medium,35140.0
2018-04-10,bawang merah medium,35640.0
2018-11-14,bawang merah medium,28340.0
2018-11-15,bawang merah medium,28060.0
2018-11-16,bawang merah medium,27060.0
2018-11-19,bawang merah medium,27360.0
2018-11-21,bawang merah medium,28760.0
2018-11-22,bawang merah medium,29460.0
2018-11-23,bawang merah medium,29260.0
2018-11-26,bawang merah medium,29060.0
2018-11-27,bawang merah medium,28660.0
2018-11-28,bawang merah medium,30960.0
2018-04-11,bawang merah medium,35240.0
2018-01-04,bawang merah medium,28400.0
2018-04-02,bawang merah medium,36040.0
2018-04-03,bawang merah medium,34340.0
2018-04-04,bawang merah medium,36340.0
2018-04-05,bawang merah medium,35840.0
2018-04-06,bawang merah medium,35840.0
2018-05-31,bawang merah medium,38740.0
2018-05-30,bawang merah medium,42840.0
2018-05-28,bawang merah medium,40840.0
2018-11-30,bawang merah medium,30060.0
2018-04-09,bawang merah medium,35940.0
2018-11-29,bawang merah medium,30060.0
2018-03-01,bawang merah medium,30740.0
2018-05-21,bawang merah medium,40160.0
2018-07-19,bawang merah medium,35540.0
2018-07-17,bawang merah medium,37840.0
2018-01-24,bawang merah medium,23240.0
2018-06-21,bawang merah medium,40540.0
2018-01-22,bawang merah medium,26240.0
2018-06-26,bawang merah medium,37040.0
2018-06-25,bawang merah medium,36340.0
2018-07-23,bawang merah medium,33740.0
2018-01-09,bawang merah medium,28100.0
2018-01-19,bawang merah medium,26360.0
2018-07-31,bawang merah medium,29060.0
2018-01-08,bawang merah medium,27900.0
2018-07-30,bawang merah medium,28560.0
2018-07-27,bawang merah medium,28560.0
2018-07-26,bawang merah medium,28860.0
2018-01-17,bawang merah medium,24140.0
2018-01-15,bawang merah medium,27600.0
2018-01-25,bawang merah medium,23940.0
2018-06-08,bawang merah medium,39540.0
2018-06-28,bawang merah medium,36540.0
2018-06-22,bawang merah medium,41440.0
2018-06-07,bawang merah medium,40540.0
2018-06-29,bawang merah medium,38040.0
2018-06-04,bawang merah medium,38940.0
2018-01-10,bawang merah medium,28040.0
2018-07-13,bawang merah medium,36340.0
2018-07-11,bawang merah medium,34540.0
2018-07-12,bawang merah medium,35540.0
2018-07-16,bawang merah medium,37040.0
2018-07-10,bawang merah medium,33740.0
2018-07-18,bawang merah medium,35540.0
2018-01-23,bawang merah medium,26240.0
2018-06-06,bawang merah medium,38740.0
2018-07-20,bawang merah medium,33240.0
2018-06-05,bawang merah medium,41240.0
2018-01-11,bawang merah medium,27340.0
2018-01-12,bawang merah medium,25640.0
2018-09-25,bawang putih impor honan,25000.0
2018-08-09,bawang putih impor honan,27500.0
2018-09-24,bawang putih impor honan,27500.0
2018-08-13,bawang putih impor honan,30000.0
